REF_AREA_LABEL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Prevalence of undernourishment (% of population),"Life expectancy at birth, total (years)","School enrollment, secondary (% gross)",Proportion of seats held by women in national parliaments (%),People using at least basic drinking water services (% of population),Access to electricity (% of population),GDP per capita (constant 2015 US$),Individuals using the Internet (% of population),Gini index,Urban population (% of total population),Combustible renewables and waste (% of total energy),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Terrestrial and marine protected areas (% of total territorial area),Forest area (% of land area),Control of Corruption: Estimate,"Personal remittances, received (% of GDP)"
Brazil,5.82,3.3,74.7716,105.1538879394532,15.516569200779742,99.22381377041657,99.74,8752.020504484579,77.36,52.24000000000001,87.0676,32.08162306236779,474.24482,29.119999999999997,59.41649431332809,-0.4767005741596222,0.21330481394143358
Brunei Darussalam,0.47400000000000003,9.676000000000002,74.5882,89.12087556872879,9.09090909090909,99.9000472813679,100.0,29403.550650505116,96.58,33.049,78.2458,22.50776144074953,8.946359999999999,9.0,72.10626185958255,1.0336780428886427,0.0037677318059602
Bulgaria,1.22,2.7800000000000002,73.7609756097561,100.68732757568348,24.83333333333334,99.11743449834152,99.48,8815.414857440772,71.46000000000001,39.86,75.6858,10.493522327148506,45.230140000000006,32.08,35.86035372144436,-0.2216256499290466,2.764400404833831
Burkina Faso,44.900000000000006,14.9,60.2712,38.307701873779294,10.781856493290439,49.108700949376384,17.8,722.0384341543958,11.154,40.2,30.612399999999997,73.23371328560374,5.616840000000001,15.8,22.72076023391813,-0.1334891557693481,2.8847876015686538
Burundi,74.2,27.032000000000004,62.3076,45.8178342183431,37.47228381374722,62.105120133201126,9.779999999999998,258.4220770660391,8.254,37.5,13.7162,56.74312697168496,0.82484,7.6,10.88940809968847,-1.531297779083252,4.362737179501307
Cabo Verde,2.9999999999999996,13.52,74.88759999999999,85.28755950927734,30.0,89.0852342927678,93.58,3738.9882999144356,66.78,34.00500000000001,66.64520000000002,33.51113995803867,0.96176,0.0,11.344913151364763,0.8857589840888982,12.479007703205673
Cambodia,16.28666666666667,4.840000000000001,70.00160000000001,55.0428928604304,20.479999999999997,76.21134952748817,85.18,1950.2555327942348,55.925,32.2,24.2414,37.791354518100675,15.784560000000003,27.32,45.70796510310446,-1.278446173667906,6.485541220862345
Cameroon,26.7,5.94,61.6294,45.2653219884131,32.777777777777786,68.48893119420573,65.22,1453.618899336538,38.239999999999995,42.2,57.5566,70.79097605073204,10.43774,10.84,43.02951069365996,-1.1531327247619623,0.9549638400194418
Canada,0.20000000000000004,2.5,81.65395121951221,110.06757507324221,29.176203805406935,99.222253691155,100.0,44538.1287167536,93.34,31.366666666666664,81.572,4.218165536779212,580.90602,9.4,39.00699210910792,1.6721319198608398,0.05610181289927789
Central African Republic,71.6,22.16,38.704,39.3133055890436,10.285714285714302,37.42692835902027,15.14,398.1232264201741,6.305,43.0,42.22,71.77253587453251,0.305,18.1,35.80050723939773,-1.25104901790619,0.0
Chad,40.7,31.639999999999997,53.237199999999994,21.948323567708332,20.742735564749097,51.07914047380374,10.48,898.5486564042661,9.708,37.45,23.5404,81.39225306816257,2.2929,20.759999999999998,3.424837627064803,-1.4464426279068001,0.0
Chile,1.1,2.6399999999999997,79.65679999999999,104.80247192382839,27.741935483870936,99.99999965926452,100.0,13681.448949055857,88.22,45.0,87.7326,20.10980312094663,90.07950000000001,35.62,24.492158131728022,0.993532288074493,0.024791538188400842
China,0.2,2.5,77.9974,97.79137756347652,24.93280694828264,96.05251305178658,100.0,10805.78887232035,68.42,37.375,61.39200000000001,3.5026880757904615,12118.77666,14.7,23.431322903940153,-0.12483869716525087,0.13785566302938096
Colombia,10.040000000000001,4.279999999999999,75.467,101.6847824096678,20.577167057757677,97.12092544809315,99.52000000000001,6399.872076388859,68.94,53.019999999999996,81.41940000000001,12.503171587387294,85.05616,16.42,53.30501227579991,-0.3209173917770388,2.4399228377477784
